seq.ID	lib.ID	date.seq.run	machine	lane
SNTITCTV	LB83_E04	211013	A01059	4
SNVFDXTR	LB12_E04	210430	A01059	3
SNXHNJSE	LB5_D08	210430	A01059	2
SNZZLCPS	LB73_C06	211013	A01059	2
SOAQDIWV	LB84_B05	220815	A01147	1
SOHAZXCW	LB70_E01	211013	A01059	1
SOIWAHCV	LB13_C06	210430	A01059	2
SOTDSIID	LB20_B11	210430	A01059	1
SOXAZESC	LB101_A06	220815	A01147	3
SOZGUNNX	LB115_B02	220915	A01147	1
SPCOZOOB	LB52_C03	211001	A01059	1
SPEVLGJA	LB3_F05	210430	A01059	1
SPHECINH	LB27_F08	210921	A01059	3
SPMYNTNB	LB31_H03	211109	A01059	1
SPMZUWHZ	LB97_B09	220815	A01147	4
SPQBAPHZ	LB54_B09	211013	A01059	4
SQCZWZRF	LB70_E09	211013	A01059	1
SQHVAZHE	LB14_G02	210430	A01059	2
SQIBIVKQ	LB126_F06	220915	A01147	2
SQOTLTSK	LB15_G05	210430	A01059	1
SQSVKNSP	LB15_A08	210430	A01059	1
SQVAFDCP	LB85_B08	220815	A01147	2
SRBCHXFN	LB20_D01	210430	A01059	3
SRFELZXA	LB68_B02	211001	A01059	4
SRJYRAJJ	LB33_F06	210921	A01059	4
SRNWDGNA	LB63_H09	211001	A01059	1
SSABUSLG	LB32_B07	210921	A01059	4
SSEVWLAI	LB118_G05	220915	A01147	4
SSQHPWXI	LB6_F07	210430	A01059	3
SSSAHMOA	LB63_H11	211001	A01059	1
SSSETGHD	LB77_C08	211001	A01059	3
STBYSLCA	LB122_C03	220815	A01147	1
STFUCVQD	LB130_G05	220915	A01147	2
STIRZVOO	LB99_A09	220815	A01147	3
STMGLAPZ	LB121_B05	220915	A01147	2
STOGTINI	LB3_D03	210430	A01059	1
SUCYHLCO	LB14_A06	210430	A01059	2
SUEEPOBZ	LB27_E08	210921	A01059	3
SUFDHMLV	LB118_H11	220915	A01147	4
SULLPLXO	LB115_F10	220915	A01147	1
SUMEHNHQ	LB122_G10	220815	A01147	1
SUPVUKUL	LB68_F11	211001	A01059	4
SUQNSOSQ	LB75_D11	210921	A01059	2
SVLKGRKA	LB108_H09	220815	A01147	4
SVMHMFPZ	LB10_G02	210430	A01059	4
SWEXFMQJ	LB4_E06	210430	A01059	2
SWHDYKRY	LB77_C01	211001	A01059	3
SWJHZGVE	LB81_B08	211001	A01059	2
SWQZFQYV	LB96_B07	220815	A01147	4
SWRRDBIP	LB24_D08	211013	A01059	4
SXAMMOFM	LB75_G09	210921	A01059	2
SXAVRHLV	LB4_C01	210430	A01059	2
SXKFOYAU	LB118_G07	220915	A01147	4
SXLDAKCN	LB97_G07	220815	A01147	4
SXYSLQJJ	LB15_G04	210430	A01059	1
SXZPCIJP	LB29_B06	210921	A01059	3
SXZVSZBT	LB85_C07	220815	A01147	2
SYBVMMLN	LB73_D06	211013	A01059	2
SYDZDGOV	LB84_H07	220815	A01147	1
SYFJNTQJ	LB50_E04	211109	A01059	1
SYMEZJUJ	LB63_C06	211001	A01059	1
SYNCHMAR	LB44_E07	210921	A01059	3
SZKLHWGQ	LB4_G05	210430	A01059	2
SZQKARXU	LB6_E02	210430	A01059	3
SZRTXMCZ	LB84_G06	220815	A01147	1
TADZLCDD	LB15_E03	210505	A01059	1
TAJJTCIL	LB122_F08	220815	A01147	1
TARVYVUM	LB126_B05	220915	A01147	2
TASXLRFE	LB85_H07	220815	A01147	2
TBUOKEOA	LB101_C06	220815	A01147	3
TCAROMZE	LB27_H09	210921	A01059	3
TCHJJQEK	LB60_D09	211013	A01059	1
TCNLGEYH	LB25_H08	210921	A01059	2
TCZMLUCH	LB15_A05	210505	A01059	1
TDAPZAID	LB81_D08	211001	A01059	2
TDFLUCSM	LB13_H03	210430	A01059	2
TDKZCADY	LB96_G09	220815	A01147	4
TDOYCAIK	LB54_G06	211013	A01059	4
TDPVYKQY	LB60_G08	211013	A01059	1
TDQLVKHT	LB70_E06	211013	A01059	1
TDXNJBVR	LB63_F02	211001	A01059	1
TEBUPBDF	LB4_H06	210430	A01059	2
TEBXUAJS	LB9_A04	210430	A01059	4
TERILYGQ	LB118_H08	220915	A01147	4
TESPDYUI	LB128_G03	220915	A01147	3
TETOSYZA	LB52_B11	211001	A01059	1
TEWKVLMX	LB111_G07	220915	A01147	4
TEZHUHUV	LB118_B05	220915	A01147	4
TFRYPZRB	LB63_F06	211001	A01059	1
TFTGTAWV	LB2_E04	210430	A01059	2
TFWRCPVB	LB51_C07	211001	A01059	2
TGGQWSFY	LB27_A07	210921	A01059	3
TGOZOHUT	LB4_F06	210430	A01059	2
TGXJLJDK	LB111_D04	220915	A01147	4
THCTCZIT	LB39_C05	211013	A01059	2
THEEMGJX	LB13_D05	210430	A01059	2
THIEMDEL	LB68_E01	211001	A01059	4
THUVFHHV	LB85_E10	220815	A01147	2
THVMYKHP	LB50_E04	211001	A01059	2
THYBUMUK	LB87_B05	220815	A01147	3
TIOPPHAP	LB85_G07	220815	A01147	2
TIOQOWSD	LB101_D04	220815	A01147	3
TIRBLUAL	LB22_H07	210921	A01059	2
TISLOZRL	LB77_C11	211001	A01059	3
TIVPMSPS	LB44_G06	210921	A01059	3
TJJAOWFA	LB99_E05	220815	A01147	3
TJKOTRTB	LB32_A07	220915	A01147	1
TJLBMYMM	LB77_E07	211001	A01059	3
TKQAQNCA	LB108_D07	220815	A01147	4
TKYSFYBD	LB27_H07	210921	A01059	3
TLAZPXJE	LB104_F08	220915	A01147	1
TLHFHTRX	LB27_D06	210921	A01059	3
TLHJQJUL	LB80_H03	211013	A01059	3
TLJOCGEL	LB52_B10	211001	A01059	1
TLMJYOVG	LB80_F03	211013	A01059	3
TLMWKTER	LB77_H06	211001	A01059	3
TMEDIDMC	LB39_C04	211013	A01059	2
TMEQBXJE	LB63_H07	211001	A01059	1
TMJHASAJ	LB63_B11	211001	A01059	1
TMMYMFAL	LB13_D02	210430	A01059	2
TMQDSTFZ	LB128_A07	220915	A01147	3
TMSEJFAS	LB52_F11	211001	A01059	1
TMTGGWXK	LB101_G08	220815	A01147	3
TMUNKGXO	LB63_F03	211109	A01059	2
