feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ORNDEGPWY	age	age	0.0649149010716453	0.0157126101656023	4101	1434	3.67780101904235e-05	0.000163003773560025
HEMEBIOSYNTHESISII	age	age	0.0656472296137359	0.0159617709930499	4101	2556	3.98788207065619e-05	0.000174218128337146
PWY01338	age	age	0.0639998228900477	0.0155703965860357	4101	1333	4.02788430417356e-05	0.000174218128337146
PWY7200	age	age	0.0722328105984166	0.0176088428243407	4101	728	4.19613773316631e-05	0.000179334934072227
PWY5918	age	age	0.0684705165304764	0.0167196322358297	4101	2504	4.30028088176814e-05	0.000181623627829972
FUCCATPWY	age	age	0.0688163863834853	0.0169079289095566	4101	2362	4.78930576428277e-05	0.000197627674641094
PWY5097	age	age	-0.0697988103661075	0.0171394915417394	4101	2242	4.74198248981112e-05	0.000197627674641094
P23PWY	age	age	0.0655980621872417	0.0162241569740352	4101	2033	5.36944283976916e-05	0.000219048861304219
ARGDEGPWY	age	age	0.0627724067620299	0.0155537926343063	4101	1421	5.54035939065757e-05	0.000220998780138452
ORNARGDEGPWY	age	age	0.0627724067620299	0.0155537926343063	4101	1421	5.54035939065757e-05	0.000220998780138452
PWY5304	age	age	-0.0374622043563551	0.00934841037822373	4101	2889	6.25019186783226e-05	0.000246573503357339
PWY66389	age	age	0.0635029440784713	0.0159430996596819	4101	2382	6.92075256563614e-05	0.00027005980120254
PWY5791	age	age	0.0638198696394466	0.0160574160228891	4101	2660	7.17650304582357e-05	0.000274081339728794
PWY5837	age	age	0.0638198696394466	0.0160574160228891	4101	2660	7.17650304582357e-05	0.000274081339728794
PWY4242	age	age	-0.0662119097599532	0.0167142626111552	4101	2573	7.5783379792898e-05	0.000283398264017191
PWY6270	age	age	-0.0627308812509556	0.0158265744261606	4101	2662	7.5075301309807e-05	0.000283398264017191
P461PWY	age	age	0.0623370234682261	0.0157551075486445	4101	2261	7.73036706275354e-05	0.000286103275827682
P122PWY	age	age	0.0660879473914716	0.016720810493002	4101	2006	7.8674138232962e-05	0.000288204241077892
PWY2942	age	age	-0.0679318739877799	0.0172611934234619	4101	2026	8.44116692647678e-05	0.000306098881475269
P125PWY	age	age	0.0651788214659771	0.0166534888118987	4101	2092	9.23718290052457e-05	0.000331614866128832
PWY6803	age	age	0.0628087239598109	0.0160935325584307	4101	2153	9.66472463614052e-05	0.000343528331126183
