feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB28772	Age	Age	-0.126758433894331	0.0830009843551118	141	64	0.129016152175466	0.189247191593738
GGB42949	Age	Age	0.126377449921018	0.0829024961573662	141	87	0.129708749294584	0.189247191593738
Bacteria_unclassified	Age	Age	-0.124624153918994	0.0820896688428485	141	72	0.131279803247972	0.190498410147873
GGB30296	Age	Age	-0.125476579189077	0.0828675914265683	141	25	0.132280911752307	0.190913532096573
GGB79854	Age	Age	-0.12457308004563	0.0836499412489076	141	57	0.138724174115947	0.199136314456763
GGB79926	Age	Age	-0.120820176391406	0.0816040694535277	141	88	0.141017031846763	0.2002741888462
GGB45514	Age	Age	-0.119477285665934	0.0806343265282811	141	81	0.140710828709894	0.2002741888462
GGB28415	Age	Age	-0.113009656910858	0.079933992835415	141	91	0.159691874833088	0.225596458097537
GGB30141	Age	Age	-0.111107307350202	0.0802121405318074	141	81	0.168251270705401	0.235251916789077
GGB28431	Age	Age	-0.11320315215431	0.0817325736986987	141	73	0.168288824369714	0.235251916789077
GGB79850	Age	Age	0.0974165730376675	0.0741746988068817	141	94	0.191263527136233	0.265975842423824
GGB28776	Age	Age	-0.103862379955999	0.0810431013287344	141	94	0.202157249671275	0.279668319493422
Jeotgalicoccus	Age	Age	0.100850314855815	0.0796218647993757	141	22	0.207441120946693	0.28549886233385
GGB42619	Age	Age	-0.0908250729824508	0.0746098505079811	141	17	0.225569700376012	0.308856974361002
GGB28396	Age	Age	0.0953116916811097	0.0795317957273299	141	64	0.232825677552301	0.317165591359512
GGB29683	Age	Age	0.0997444855100476	0.0840233616347378	141	86	0.237236475533767	0.320323862472751
GGB29001	Age	Age	0.0663706808054911	0.0559460224447145	141	33	0.237543538462939	0.320323862472751
GGB28836	Age	Age	-0.0948444532234365	0.0806857739084442	141	84	0.241840960665128	0.324480082902458
GGB30303	Age	Age	0.0906131413662861	0.0780151858568106	141	89	0.247465472146133	0.330366405315088
GGB28398	Age	Age	0.0919332548160464	0.0799074356538884	141	72	0.251942800977063	0.334670287865053
GGB28422	Age	Age	-0.094959722805946	0.0835375707219361	141	86	0.257632409289156	0.340533927129726
GGB30302	Age	Age	-0.0936810340083855	0.0831376847917479	141	86	0.261787025024305	0.34096163747068
GGB75314	Age	Age	0.093287000377119	0.0826805018997339	141	64	0.261170923129653	0.34096163747068
InvSimpson	Age	Age	0.0955713900257581	0.0844306411275702	141	56	0.259603823418203	0.34096163747068
GGB30861	Age	Age	-0.0928656620939921	0.0830108430569847	141	85	0.265216590100578	0.342379237269137
Oscillibacter	Age	Age	0.0944149221258869	0.0844400013665981	141	87	0.265440082826634	0.342379237269137
GGB28855	Age	Age	-0.0733236340917242	0.0667931329580911	141	26	0.274229544703124	0.352015809787184
GGB28785	Age	Age	0.0755392047890227	0.069411131553215	141	24	0.278379197254872	0.355632754387803
GGB74408	Age	Age	-0.0858203154386229	0.0801620327406023	141	89	0.286237458201184	0.363930482570077
GGB30457	Age	Age	0.0875956952952991	0.0830204260513311	141	85	0.293230291913224	0.370155211943736
GGB28846	Age	Age	-0.0861702271245132	0.0817841731307554	141	64	0.293906010981543	0.370155211943736
GGB28888	Age	Age	-0.0733756911040114	0.0707237798330852	141	84	0.301331899642485	0.377725902368749
GGB28798	Age	Age	0.0798747820582572	0.0775901744993927	141	84	0.305084396637417	0.378872250707862
Schaedlerella	Age	Age	0.0790719449326545	0.0766273848916375	141	65	0.30393589116227	0.378872250707862
GGB29003	Age	Age	0.0762329818240792	0.0757829532791673	141	98	0.316218278172063	0.390880927184912
GGB28793	Age	Age	-0.0737966936964717	0.0745810342339539	141	68	0.324170801764256	0.397034881059891
GGB30460	Age	Age	0.0819426664436542	0.0827665486906642	141	89	0.323895559063194	0.397034881059891
GGB28991	Age	Age	0.0553941261126615	0.0569539377667924	141	33	0.332459853307267	0.405327766360914
GGB28895	Age	Age	-0.0742087135176442	0.0816116086252674	141	30	0.364792526156643	0.442725474926471
Streptococcus	Age	Age	0.0683376422162525	0.0793119272446273	141	72	0.390395548041289	0.471654349896036
Romboutsia	Age	Age	0.061748141262851	0.0747163784160062	141	65	0.409994819986385	0.493101878091733
Clostridiaceae_unclassified	Age	Age	0.0611122296146076	0.0757470265687985	141	85	0.421183406478313	0.504286858877621
GGB74395	Age	Age	0.0641097884814221	0.0809198861553732	141	89	0.429576701799543	0.512040086519991
GGB5207	Age	Age	0.0605954286207435	0.078068921657019	141	80	0.43898106227064	0.520924193894493
GGB30455	Age	Age	0.058893569911122	0.0784795142361028	141	74	0.454280841727507	0.536694622748869
