feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY5097	Age	Age	0.280198130908966	0.0808469572410029	141	79	0.000706115789273338	0.0018157263152743
PWY6163	Age	Age	0.270399682000539	0.0787370279561521	141	70	0.000786484937284421	0.00200040734048429
PWY5695	Age	Age	-0.275172961127881	0.0805383863097897	141	75	0.000834533340182364	0.00209979356562014
PWY3841	Age	Age	0.265995378575706	0.0787939880748842	141	73	0.000957696170934691	0.00238405217019912
PWY6823	Age	Age	-0.273701266318159	0.0813158841250886	141	85	0.000989632408437805	0.00243762087973101
SO4ASSIMPWY	Age	Age	-0.265559399282834	0.0791805194328509	141	60	0.00103076925282068	0.00251250005375041
PWY6703	Age	Age	-0.259610024494394	0.0789215711025002	141	75	0.00127591000675332	0.00307796846989977
GLYCOLYSIS	Age	Age	0.259783899827902	0.0794040764606631	141	80	0.00135268442957715	0.00322987914817401
PANTOSYNPWY	Age	Age	-0.260315031307175	0.0798109072031292	141	74	0.00139777537500594	0.00330383270455948
PWY7220	Age	Age	0.261594497249155	0.0811335870201192	141	76	0.0015785452781288	0.00365722371368454
PWY7222	Age	Age	0.261594497249155	0.0811335870201192	141	76	0.0015785452781288	0.00365722371368454
PWY841	Age	Age	0.259128942893339	0.0811790925885485	141	80	0.00175156259888554	0.00401829066803154
PWY7184	Age	Age	0.181320884677601	0.0573577141457224	141	35	0.00193438130290705	0.00439461383378883
PWY0166	Age	Age	0.180408381669287	0.0573191109657075	141	35	0.00202143996356241	0.00454823991801542
COAPWY	Age	Age	-0.250606943667709	0.0806611798453213	141	69	0.00229836803198261	0.00508374682164028
PENTOSEPPWY	Age	Age	-0.254716309276748	0.0820212115830842	141	84	0.00230289385937551	0.00508374682164028
PWY6125	Age	Age	0.250797555117803	0.0814950766765234	141	77	0.00252115605617517	0.0055135562349999
HSERMETANAPWY	Age	Age	0.25075057443197	0.0815704461947126	141	80	0.00254838415783111	0.00552149900863408
PWY6126	Age	Age	0.246542330244143	0.0816183197597015	141	79	0.00300891151754278	0.00645851346166415
PWY7228	Age	Age	0.246236977989243	0.0815956008920324	141	78	0.00303605333667973	0.00645851346166415
PWY7199	Age	Age	-0.241959184449686	0.0804652482291599	141	87	0.00313920215686673	0.00661777751988121
PWY5103	Age	Age	-0.241936000959175	0.081711333511343	141	72	0.00361571401051231	0.00755425962910608
GLUCARDEGPWY	Age	Age	-0.239479264963838	0.0823507886178896	141	40	0.00423527514601571	0.0086357557169455
