one.minus.specificity,sensitivity,fold
0.51251251,0.48582230,mean
0.51351351,0.48582230,mean
0.51451451,0.48582230,mean
0.51551552,0.48582230,mean
0.51651652,0.48797284,mean
0.51751752,0.48797284,mean
0.51851852,0.48797284,mean
0.51951952,0.48797284,mean
0.52052052,0.48797284,mean
0.52152152,0.48797284,mean
0.52252252,0.48797284,mean
0.52352352,0.48797284,mean
0.52452452,0.48797284,mean
0.52552553,0.48797284,mean
0.52652653,0.48797284,mean
0.52752753,0.48797284,mean
0.52852853,0.48797284,mean
0.52952953,0.48797284,mean
0.53053053,0.48797284,mean
0.53153153,0.48797284,mean
0.53253253,0.48797284,mean
0.53353353,0.48797284,mean
0.53453453,0.48797284,mean
0.53553554,0.48797284,mean
0.53653654,0.48797284,mean
0.53753754,0.48797284,mean
0.53853854,0.48797284,mean
0.53953954,0.48797284,mean
0.54054054,0.48797284,mean
0.54154154,0.48797284,mean
0.54254254,0.49104976,mean
0.54354354,0.49104976,mean
0.54454454,0.49104976,mean
0.54554555,0.49104976,mean
0.54654655,0.49104976,mean
0.54754755,0.49104976,mean
0.54854855,0.49320030,mean
0.54954955,0.49320030,mean
0.55055055,0.49320030,mean
0.55155155,0.49320030,mean
0.55255255,0.49320030,mean
0.55355355,0.49320030,mean
0.55455455,0.49320030,mean
0.55555556,0.49320030,mean
0.55655656,0.49320030,mean
0.55755756,0.49320030,mean
0.55855856,0.49320030,mean
0.55955956,0.49320030,mean
0.56056056,0.49320030,mean
0.56156156,0.49320030,mean
0.56256256,0.49320030,mean
0.56356356,0.49320030,mean
0.56456456,0.49320030,mean
0.56556557,0.49320030,mean
0.56656657,0.49320030,mean
0.56756757,0.49320030,mean
0.56856857,0.49320030,mean
0.56956957,0.49320030,mean
0.57057057,0.49320030,mean
0.57157157,0.51114902,mean
0.57257257,0.51114902,mean
0.57357357,0.51114902,mean
0.57457457,0.51114902,mean
0.57557558,0.51114902,mean
0.57657658,0.51114902,mean
0.57757758,0.51114902,mean
0.57857858,0.51114902,mean
0.57957958,0.51114902,mean
0.58058058,0.51114902,mean
0.58158158,0.52405224,mean
0.58258258,0.52405224,mean
0.58358358,0.52405224,mean
0.58458458,0.52405224,mean
0.58558559,0.52405224,mean
0.58658659,0.52405224,mean
0.58758759,0.52405224,mean
0.58858859,0.52405224,mean
0.58958959,0.52405224,mean
0.59059059,0.52405224,mean
0.59159159,0.52405224,mean
0.59259259,0.52405224,mean
0.59359359,0.52405224,mean
0.59459459,0.52405224,mean
0.59559560,0.52405224,mean
0.59659660,0.52405224,mean
0.59759760,0.52405224,mean
