PCoA1,PCoA2,Diet.5mo.as.AL,age.approx.months
 0.17654568, 0.11295884,20,28
 0.23986085, 0.09859597,20,28
 0.18373926, 0.05159122,20,28
-0.02890938, 0.05364817,2D,28
 0.35017827,-0.05456117,2D,28
 0.27453883, 0.00387144,2D,28
-0.07352433,-0.07240213,2D,28
 0.02957400, 0.08256877,2D,28
-0.21376021,-0.07212758,2D,28
-0.00719395,-0.06044858,2D,28
-0.08780091,-0.03603256,2D,28
 0.25326961,-0.04624180,2D,28
 0.11774206,-0.06880593,2D,28
 0.38880100,-0.01465790,2D,28
 0.10563340,-0.03392667,2D,28
 0.41849199,-0.01892962,2D,28
 0.25893834,-0.01148958,2D,28
-0.02805518,-0.12822892,2D,28
 0.22000906,-0.06624320,2D,28
-0.08720341, 0.00696344,2D,28
 0.16890657, 0.02185766,2D,28
-0.10655270, 0.14796828,2D,28
 0.29627407, 0.02233681,2D,28
 0.36594883,-0.10212294,2D,28
 0.07499413,-0.03340942,2D,28
 0.04163813, 0.17387125,2D,28
-0.19883300,-0.16975699,2D,28
 0.38241556,-0.11285946,2D,28
 0.18892990, 0.02986811,2D,28
 0.19959599,-0.05240262,2D,28
-0.19601265, 0.05040886,2D,28
 0.08795448, 0.04658202,2D,28
 0.08938596, 0.05833325,2D,28
 0.35473590,-0.04202309,2D,28
 0.26890987, 0.05484473,2D,28
-0.13500158, 0.05314547,2D,28
 0.12811657, 0.12511933,2D,28
 0.14410855, 0.09508079,2D,28
-0.00877925, 0.19725552,2D,28
 0.21342186,-0.18871792,2D,28
 0.02635003, 0.10697340,2D,28
 0.31379724, 0.02317964,2D,28
-0.28846002, 0.04874172,2D,28
 0.31186735,-0.00727224,2D,28
 0.42996592,-0.08562121,2D,28
-0.07016517,-0.00435236,2D,28
 0.28650045,-0.00287387,2D,28
 0.36467765,-0.06594847,2D,28
 0.37070973,-0.01099296,2D,28
 0.20927624,-0.01014295,2D,28
-0.07404272, 0.04102053,2D,28
-0.20950487, 0.03177667,2D,28
-0.14555916, 0.02009855,2D,28
 0.13395453,-0.00397318,2D,28
-0.21657089,-0.01209045,2D,28
 0.29735552,-0.11913908,2D,28
 0.00331060, 0.02998886,2D,28
-0.24252973, 0.07281129,2D,28
 0.17767985, 0.04366749,2D,28
-0.05100412,-0.02745297,2D,28
-0.13175350,-0.10530943,2D,28
-0.02965296, 0.02060686,2D,28
 0.10458755, 0.08572978,2D,28
 0.03035724, 0.07510729,2D,28
 0.19703047,-0.03933027,2D,28
-0.23071016, 0.16693121,2D,28
-0.02550836, 0.08499835,2D,28
-0.20703981, 0.09648053,2D,28
 0.40390454,-0.06168029,2D,28
 0.04264742, 0.08070285,2D,28
 0.15004092, 0.07460745,2D,28
-0.17041335, 0.17824682,2D,28
-0.12498707, 0.11988348,2D,28
 0.39682590,-0.07988291,2D,28
-0.01387117, 0.07717932,2D,28
 0.29912085,-0.00797093,2D,28
-0.05827890, 0.14129678,2D,28
 0.08809534, 0.10378910,2D,28
 0.23602590,-0.03912418,2D,28
-0.03079539,-0.00852520,2D,28
 0.04054367, 0.06339455,2D,28
 0.25945168, 0.00564928,40,28
 0.15645690, 0.03428324,40,28
 0.10794072, 0.13347827,40,28
 0.25425893, 0.14595847,40,28
 0.11040995, 0.18719582,40,28
 0.27202715, 0.07312297,40,28
 0.23502194, 0.13170918,40,28
 0.18270419, 0.11236520,40,28
 0.00312948, 0.17675095,40,28
-0.15734909, 0.12878567,40,28
 0.19417598, 0.05114237,40,28
 0.03890229, 0.10894136,40,28
-0.04734895, 0.15466929,40,28
 0.14688428, 0.13468028,40,28
 0.14123998, 0.10223297,40,28
 0.17751495, 0.17754287,40,28
 0.02238665, 0.17439505,40,28
 0.06487560, 0.09566971,40,28
 0.04607516, 0.08486397,40,28
-0.04470733, 0.17989137,40,28
 0.35182811, 0.09846824,40,28
 0.24266128, 0.12309969,40,28
-0.05202452, 0.18644123,40,28
 0.08459017, 0.16514975,40,28
 0.29295367,-0.01956498,40,28
 0.18567054, 0.05725703,40,28
-0.10328063, 0.18583396,40,28
 0.24245515, 0.01328703,40,28
 0.37002972, 0.00155730,40,28
-0.10251791, 0.19327553,40,28
 0.32728514,-0.02757935,40,28
-0.20894875, 0.09151744,40,28
 0.12935157, 0.15967700,40,28
 0.16776931, 0.07742228,40,28
 0.32322122,-0.02661251,40,28
 0.20973885, 0.04218714,40,28
 0.17687043, 0.08545787,40,28
 0.20391633, 0.07391862,40,28
-0.00653459, 0.10221243,40,28
 0.09915131, 0.14912090,40,28
-0.02506996, 0.20517902,40,28
 0.02517989, 0.20024595,40,28
-0.24292716, 0.15915722,40,28
-0.09154239, 0.20915587,40,28
-0.09914502, 0.19902637,40,28
 0.06419035, 0.10494189,40,28
-0.03977088, 0.12675554,40,28
-0.13139171, 0.23152937,40,28
 0.04446540, 0.18989037,40,28
 0.15701360, 0.12203261,40,28
 0.15276366, 0.04763936,40,28
 0.34330123, 0.00998150,40,28
 0.26606818, 0.05348569,40,28
 0.19650912, 0.08518398,40,28
 0.25492252, 0.00002373,40,28
 0.11366298, 0.06302964,40,28
 0.30525928, 0.00746839,40,28
 0.36307547,-0.00565658,40,28
 0.04616932, 0.17000773,40,28
 0.07628748, 0.15340627,40,28
