Diet.5mo.as.AL,log10relab
40,-0.78779514
40,-0.78839040
20,-0.78944179
20,-0.78958875
1D,-0.78983942
1D,-0.79120959
20,-0.79128276
AL,-0.79163196
20,-0.79165767
AL,-0.79175987
AL,-0.79207923
AL,-0.79253966
AL,-0.79270844
20,-0.79274763
20,-0.79283479
20,-0.79328474
AL,-0.79372865
20,-0.79467710
40,-0.79653760
AL,-0.79788031
AL,-0.79803154
1D,-0.79885169
AL,-0.79892713
AL,-0.79948199
20,-0.79958909
40,-0.80021938
AL,-0.80137986
40,-0.80149892
40,-0.80157003
20,-0.80271978
20,-0.80311329
AL,-0.80327599
40,-0.80357229
AL,-0.80403209
20,-0.80479313
40,-0.80481323
40,-0.80496299
40,-0.80517253
AL,-0.80527453
20,-0.80527960
AL,-0.80576520
20,-0.80591820
20,-0.80603720
1D,-0.80617477
AL,-0.80659127
AL,-0.80678807
20,-0.80699423
2D,-0.80730793
AL,-0.80762821
40,-0.80792758
20,-0.80881370
AL,-0.80912912
AL,-0.80977440
AL,-0.81106114
AL,-0.81116616
2D,-0.81134429
AL,-0.81135009
AL,-0.81141307
AL,-0.81145930
1D,-0.81185129
40,-0.81202108
AL,-0.81270879
40,-0.81272059
40,-0.81363533
AL,-0.81414068
AL,-0.81494180
40,-0.81550221
1D,-0.81726786
20,-0.81780259
40,-0.81828809
2D,-0.81858387
1D,-0.81898774
AL,-0.81901440
2D,-0.81978559
20,-0.82023642
40,-0.82036762
AL,-0.82053505
AL,-0.82087154
AL,-0.82098608
20,-0.82198082
20,-0.82201760
2D,-0.82435796
1D,-0.82448198
1D,-0.82522846
40,-0.82549966
20,-0.82578027
AL,-0.82605233
20,-0.82633746
40,-0.82639405
40,-0.82643183
20,-0.82644327
AL,-0.82648356
40,-0.82671076
AL,-0.82685406
1D,-0.82686570
1D,-0.82723278
40,-0.82822890
1D,-0.82852567
1D,-0.82885771
40,-0.83003077
AL,-0.83163066
AL,-0.83174816
20,-0.83179999
40,-0.83265572
20,-0.83276434
20,-0.83319830
1D,-0.83355185
AL,-0.83367084
1D,-0.83375049
AL,-0.83390180
20,-0.83426609
AL,-0.83507335
40,-0.83560832
1D,-0.83601263
AL,-0.83658739
20,-0.83696927
1D,-0.83753928
AL,-0.83764725
40,-0.83795674
2D,-0.83827348
1D,-0.83855748
AL,-0.83928988
40,-0.83968641
20,-0.84017600
20,-0.84092615
AL,-0.84146066
AL,-0.84172410
AL,-0.84180679
1D,-0.84258495
20,-0.84358159
20,-0.84382765
AL,-0.84425846
AL,-0.84446115
40,-0.84503282
AL,-0.84524537
1D,-0.84537022
1D,-0.84540315
AL,-0.84555292
AL,-0.84618592
1D,-0.84650090
AL,-0.84698527
1D,-0.84703052
AL,-0.84786740
20,-0.84867017
2D,-0.84876354
40,-0.84890575
20,-0.84908235
AL,-0.84952053
2D,-0.84957349
40,-0.85018876
20,-0.85049095
40,-0.85060328
40,-0.85112585
AL,-0.85186633
20,-0.85195660
40,-0.85196495
2D,-0.85255927
40,-0.85377983
AL,-0.85390203
20,-0.85396991
20,-0.85425898
20,-0.85577865
40,-0.85638169
40,-0.85683012
20,-0.85781890
40,-0.85845592
AL,-0.85902475
40,-0.85938993
40,-0.85948739
AL,-0.85954863
1D,-0.85971606
2D,-0.85987645
20,-0.86040339
20,-0.86105773
20,-0.86127216
40,-0.86174059
1D,-0.86201823
AL,-0.86373050
40,-0.86387718
AL,-0.86420178
2D,-0.86487355
AL,-0.86516430
40,-0.86519587
20,-0.86526313
40,-0.86638810
2D,-0.86668035
20,-0.86684731
2D,-0.86706313
AL,-0.86716175
AL,-0.86774959
2D,-0.86871726
AL,-0.86877919
AL,-0.86984412
40,-0.87012544
2D,-0.87076119
20,-0.87105667
40,-0.87117545
20,-0.87133824
20,-0.87198290
AL,-0.87215025
1D,-0.87296623
AL,-0.87312553
1D,-0.87325745
AL,-0.87339330
20,-0.87437625
AL,-0.87466548
2D,-0.87503814
AL,-0.87513642
AL,-0.87624220
1D,-0.87638654
20,-0.87711254
40,-0.87764254
AL,-0.87799712
20,-0.87912232
AL,-0.87921537
AL,-0.87944422
AL,-0.87958351
AL,-0.87997149
AL,-0.87997223
AL,-0.88135720
AL,-0.88241837
1D,-0.88379890
AL,-0.88425671
1D,-0.88434627
2D,-0.88467268
40,-0.88467893
AL,-0.88614286
20,-0.88673632
AL,-0.88703105
20,-0.88755789
40,-0.88761400
AL,-0.88812428
40,-0.88825852
1D,-0.88922653
40,-0.88963240
AL,-0.89098450
2D,-0.89143721
20,-0.89278529
AL,-0.89316915
AL,-0.89352535
20,-0.89359043
20,-0.89383428
1D,-0.89464107
AL,-0.89521531
1D,-0.89671879
AL,-0.89721685
20,-0.89748132
AL,-0.89768056
1D,-0.89800426
