actual.age.approx.months,pred.age.months,is.AL
15.898618,14.828209,TRUE
22.119816,12.044220,TRUE
 4.838710,15.386549,TRUE
 4.838710,16.020109,TRUE
15.898618,18.374209,TRUE
22.119816,22.996913,TRUE
 4.838710,14.065244,TRUE
15.898618,21.905374,TRUE
10.138249,12.670007,TRUE
15.898618,17.674974,TRUE
22.119816,20.696725,TRUE
15.898618,12.486257,TRUE
22.119816,13.673170,TRUE
 4.838710,10.850505,TRUE
 4.838710,12.544539,TRUE
15.898618,20.080416,TRUE
10.138249,14.238455,TRUE
15.898618,17.071473,TRUE
22.119816,18.813240,TRUE
 4.838710,11.546501,TRUE
15.898618,20.296397,TRUE
 4.838710,10.434171,TRUE
10.138249,11.431498,TRUE
10.138249,15.745191,TRUE
22.119816,19.696554,TRUE
10.138249,13.667906,TRUE
 4.838710,10.161251,TRUE
15.898618,21.897379,TRUE
 4.838710,15.630168,TRUE
 4.838710,12.941669,TRUE
15.898618,10.711431,TRUE
22.350230,12.832301,TRUE
 4.838710,15.609254,TRUE
10.138249,12.476068,TRUE
22.350230,12.022107,TRUE
27.880184,17.918692,TRUE
 4.838710, 8.909978,TRUE
10.138249,13.767441,TRUE
10.138249,12.470938,TRUE
22.350230,12.767481,TRUE
 4.838710, 8.489510,TRUE
 4.838710,12.610453,TRUE
22.350230,10.507303,TRUE
 4.838710,10.425761,TRUE
22.350230,15.336782,TRUE
 4.838710,13.026560,TRUE
 4.838710,14.354662,TRUE
10.138249,10.351257,TRUE
15.898618,13.882756,TRUE
 4.838710,11.979175,TRUE
10.138249,14.456971,TRUE
 4.838710,13.264496,TRUE
10.138249,12.815826,TRUE
15.898618,18.662084,TRUE
 4.838710,10.889441,TRUE
10.138249,12.553475,TRUE
15.898618,17.190240,TRUE
22.350230,16.577577,TRUE
27.880184,17.712427,TRUE
 4.838710,13.649900,TRUE
10.138249, 8.354199,TRUE
15.898618,12.878519,TRUE
22.350230,13.164188,TRUE
27.880184,12.094239,TRUE
 4.838710,11.882821,TRUE
15.898618,13.201860,TRUE
 4.838710, 9.990594,TRUE
10.138249,10.942844,TRUE
22.350230,13.329570,TRUE
27.880184,18.912730,TRUE
 4.838710, 8.240566,TRUE
10.138249,12.458570,TRUE
15.898618,16.594625,TRUE
22.350230,15.094340,TRUE
 4.838710,12.587992,TRUE
15.898618,15.063619,TRUE
22.119816,20.600221,TRUE
 4.838710,13.840739,TRUE
 4.838710,12.066753,TRUE
15.898618,18.550947,TRUE
22.119816,18.780209,TRUE
28.110599,20.026525,TRUE
 4.838710,13.707860,TRUE
15.898618,20.837256,TRUE
22.119816,24.969578,TRUE
28.110599,26.855229,TRUE
 4.838710,16.596073,TRUE
15.898618,19.290923,TRUE
22.119816,23.471092,TRUE
28.110599,19.929623,TRUE
 4.838710,13.514818,TRUE
15.898618,15.820828,TRUE
 4.838710, 9.878856,TRUE
15.898618,19.780451,TRUE
 4.838710,12.146811,TRUE
15.898618,17.392888,TRUE
22.119816,16.773421,TRUE
28.110599,11.801839,TRUE
 4.838710,12.911936,TRUE
15.898618,14.434217,TRUE
22.119816,10.789607,TRUE
28.110599,13.914036,TRUE
 4.838710,15.051139,TRUE
15.898618,18.414536,TRUE
 4.838710,12.474723,TRUE
 4.838710,11.925550,TRUE
28.110599,23.485323,TRUE
 4.838710,12.320910,TRUE
15.898618,12.360144,TRUE
 4.838710,12.211858,TRUE
10.138249,13.815320,TRUE
 4.838710,12.018889,TRUE
10.138249,22.846975,TRUE
10.138249,22.683618,FALSE
15.898618,22.284908,FALSE
22.350230,23.126298,FALSE
10.138249,13.558080,FALSE
15.898618,16.390261,FALSE
22.350230,16.973925,FALSE
10.138249,11.962650,FALSE
15.898618,11.235230,FALSE
22.350230,13.339839,FALSE
27.880184,19.407350,FALSE
10.138249,19.205945,FALSE
15.898618,19.401628,FALSE
10.138249,19.307826,FALSE
15.898618,19.294593,FALSE
10.138249,17.899017,FALSE
15.898618,18.361751,FALSE
10.138249,13.849793,FALSE
10.138249,11.069946,FALSE
15.898618,22.174009,FALSE
22.350230,13.006644,FALSE
27.880184,22.324570,FALSE
10.138249, 9.660968,FALSE
15.898618,16.242504,FALSE
27.880184,21.170507,FALSE
10.138249,13.795392,FALSE
15.898618,21.176298,FALSE
10.138249,10.532903,FALSE
15.898618,17.069839,FALSE
22.350230,19.648103,FALSE
10.138249,20.144171,FALSE
15.898618,20.739155,FALSE
22.350230,20.596060,FALSE
27.880184,21.594700,FALSE
10.138249,13.107834,FALSE
15.898618,16.387220,FALSE
 9.907834,11.142250,FALSE
15.898618,15.825684,FALSE
22.350230,18.068802,FALSE
15.898618,22.762773,FALSE
22.350230,16.239931,FALSE
15.898618,21.779217,FALSE
22.350230,22.363641,FALSE
27.880184,22.714816,FALSE
 9.907834,10.781767,FALSE
15.898618,19.911183,FALSE
15.898618,18.487220,FALSE
22.350230,19.561905,FALSE
27.880184,23.120668,FALSE
 9.907834,12.562143,FALSE
27.880184,23.118095,FALSE
 9.907834,12.752519,FALSE
15.898618,19.067327,FALSE
22.350230,20.952343,FALSE
27.880184,19.311237,FALSE
 9.907834,13.142066,FALSE
15.898618,18.209401,FALSE
22.350230,20.556436,FALSE
27.880184,21.979862,FALSE
 9.907834,14.181390,FALSE
15.898618,14.543541,FALSE
22.350230,18.059923,FALSE
 9.907834,11.806935,FALSE
15.898618,17.405361,FALSE
22.350230,14.150492,FALSE
 9.907834,10.970922,FALSE
15.898618,17.433717,FALSE
22.350230,14.955883,FALSE
15.898618,20.065783,FALSE
27.880184,14.885906,FALSE
 9.907834,14.429531,FALSE
15.898618,21.339009,FALSE
22.350230,16.379378,FALSE
 5.299539,11.679316,FALSE
 5.299539,12.717465,FALSE
10.138249,10.499693,FALSE
15.898618,13.087174,FALSE
22.119816,15.952074,FALSE
 5.299539, 9.228164,FALSE
10.138249, 8.748303,FALSE
15.898618,20.977266,FALSE
22.119816,14.326344,FALSE
 5.299539,10.395338,FALSE
10.138249,12.621060,FALSE
15.898618,14.599155,FALSE
22.119816,15.255799,FALSE
27.880184,18.726060,FALSE
 5.299539,11.445115,FALSE
10.138249, 8.743287,FALSE
15.898618,19.225438,FALSE
22.119816,21.279547,FALSE
27.880184,15.481513,FALSE
10.138249,12.960945,FALSE
15.898618,14.172028,FALSE
22.119816,15.460783,FALSE
27.880184,17.088041,FALSE
 5.299539,12.454754,FALSE
10.138249, 9.404555,FALSE
15.898618,14.818671,FALSE
22.119816,16.074570,FALSE
27.880184,19.173080,FALSE
 5.299539,12.737089,FALSE
10.138249, 9.866705,FALSE
15.898618,16.525822,FALSE
 5.299539,10.680100,FALSE
10.138249,12.572611,FALSE
15.898618,16.929516,FALSE
 5.299539,10.926152,FALSE
10.138249,11.498771,FALSE
15.898618,10.799301,FALSE
22.119816,20.877135,FALSE
27.880184,19.204624,FALSE
 5.299539,14.547473,FALSE
10.138249,10.318717,FALSE
15.898618,13.294270,FALSE
22.119816,14.099808,FALSE
27.880184,14.782143,FALSE
 5.299539,12.211774,FALSE
15.898618,19.914186,FALSE
22.119816,20.297995,FALSE
27.880184,16.750584,FALSE
 5.299539,10.267289,FALSE
10.138249,12.767519,FALSE
 5.299539,14.128349,FALSE
22.119816,17.472988,FALSE
27.880184,13.414109,FALSE
 5.299539,13.557074,FALSE
10.138249,11.046736,FALSE
15.898618,22.443203,FALSE
22.119816,21.509631,FALSE
 4.608295,10.658656,FALSE
15.898618,19.551359,FALSE
22.119816,17.685015,FALSE
 4.608295,10.235983,FALSE
10.138249, 9.688518,FALSE
22.119816,19.156912,FALSE
 4.608295, 9.969631,FALSE
15.898618,16.501252,FALSE
27.880184,18.469147,FALSE
 4.608295,10.050952,FALSE
15.898618,15.720553,FALSE
22.119816,16.897343,FALSE
22.119816,19.226743,FALSE
 4.608295,12.098333,FALSE
22.119816,17.115277,FALSE
27.880184,17.317481,FALSE
 4.608295,11.002058,FALSE
22.119816,22.880906,FALSE
27.880184,24.078464,FALSE
 4.608295,11.666429,FALSE
22.119816,22.068579,FALSE
27.880184,20.624685,FALSE
 4.608295,12.979854,FALSE
22.119816,20.596160,FALSE
 4.608295,12.674370,FALSE
22.119816,13.281467,FALSE
27.880184,15.902089,FALSE
22.119816,20.633041,FALSE
27.880184,21.538625,FALSE
 4.608295,10.821060,FALSE
22.119816,19.620730,FALSE
15.898618, 8.963525,FALSE
22.119816,20.347650,FALSE
27.880184,16.627212,FALSE
 4.838710,10.741628,FALSE
15.668203,15.850876,FALSE
21.889401,21.867320,FALSE
 4.838710,10.525192,FALSE
15.668203,12.136782,FALSE
21.889401,13.266690,FALSE
27.649770,13.970269,FALSE
 4.838710,13.223856,FALSE
15.668203,13.531436,FALSE
21.889401,13.660407,FALSE
15.668203,17.286605,FALSE
21.889401,18.256037,FALSE
15.668203,11.056805,FALSE
 4.838710, 8.758126,FALSE
15.668203,19.366513,FALSE
21.889401,16.203894,FALSE
 4.838710,10.131667,FALSE
21.889401,18.134631,FALSE
27.649770,20.102504,FALSE
 4.838710,11.185146,FALSE
15.668203,16.071060,FALSE
21.889401,18.084140,FALSE
 4.838710,11.616244,FALSE
 4.838710,11.815469,FALSE
15.668203,19.260522,FALSE
21.889401,18.418303,FALSE
 4.838710,11.765038,FALSE
10.138249,18.190484,FALSE
15.668203,15.864739,FALSE
21.889401,18.465315,FALSE
27.649770,19.827911,FALSE
 4.838710, 8.965476,FALSE
15.668203,16.370922,FALSE
 4.838710,10.253948,FALSE
 4.838710, 8.405323,FALSE
 4.838710,11.929562,FALSE
10.138249,10.090177,FALSE
15.668203,13.389455,FALSE
21.889401,12.723725,FALSE
 5.069124,10.691206,FALSE
 5.069124, 7.707596,FALSE
15.898618,22.685853,FALSE
 5.069124,10.110768,FALSE
15.898618,17.626344,FALSE
22.119816,19.343564,FALSE
27.880184,20.823687,FALSE
15.898618,17.216966,FALSE
 5.069124,11.870230,FALSE
15.898618,20.726528,FALSE
 5.069124,13.686743,FALSE
 5.069124,10.515983,FALSE
15.898618,20.982711,FALSE
22.119816,17.118702,FALSE
 5.069124, 8.676705,FALSE
10.138249, 9.284946,FALSE
15.898618,14.635876,FALSE
22.119816,17.201935,FALSE
27.880184,14.054524,FALSE
 5.069124, 9.486943,FALSE
10.138249,14.340799,FALSE
22.119816,14.959531,FALSE
27.880184,18.634194,FALSE
10.138249,15.759124,FALSE
15.898618,16.894109,FALSE
22.119816,16.652680,FALSE
27.880184,21.378134,FALSE
15.898618,13.659977,FALSE
22.119816,15.421590,FALSE
27.880184,18.862343,FALSE
10.138249,12.446613,FALSE
15.898618,20.165745,FALSE
27.880184,22.614992,FALSE
 5.069124, 8.620891,FALSE
10.138249,11.140538,FALSE
15.898618,14.102588,FALSE
22.119816,13.705192,FALSE
27.880184,19.932235,FALSE
10.138249,12.792857,FALSE
15.898618,13.039562,FALSE
 4.608295,10.167596,FALSE
10.138249,15.104048,FALSE
15.898618,19.237235,FALSE
22.119816,20.831475,FALSE
 4.608295,13.205591,FALSE
10.138249,16.865699,FALSE
15.898618,15.548886,FALSE
22.119816,20.786866,FALSE
 4.608295,10.029608,FALSE
10.138249,14.052197,FALSE
 4.608295,12.928172,FALSE
10.138249,17.398886,FALSE
15.898618,16.782112,FALSE
 4.608295,11.964163,FALSE
10.138249,13.687473,FALSE
15.898618,19.273157,FALSE
22.119816,20.896659,FALSE
27.880184,21.016667,FALSE
 4.608295, 9.981966,FALSE
22.119816,18.703848,FALSE
27.880184,21.054946,FALSE
 4.838710,14.638164,FALSE
10.138249,12.689309,FALSE
15.898618,17.817212,FALSE
22.119816,19.865653,FALSE
27.880184,21.114040,FALSE
 4.838710,14.326229,FALSE
10.138249,11.030276,FALSE
22.119816,17.878917,FALSE
27.880184,16.396736,FALSE
 4.608295,10.602542,FALSE
10.138249,19.147734,FALSE
15.898618,18.251951,FALSE
 4.608295,12.345630,FALSE
10.138249,18.322742,FALSE
15.898618,23.232028,FALSE
22.119816,14.613840,FALSE
 4.608295, 8.000015,FALSE
 4.608295,18.402642,FALSE
15.898618,16.939140,FALSE
10.138249,20.023618,FALSE
15.898618,11.849777,FALSE
27.880184,18.022450,FALSE
 4.838710,10.535952,FALSE
10.138249,16.045146,FALSE
15.898618,11.432266,FALSE
22.119816,14.101206,FALSE
15.898618,16.865561,FALSE
27.880184,22.002005,FALSE
 4.838710, 8.608740,FALSE
10.138249,13.388487,FALSE
15.898618,19.869862,FALSE
 4.838710, 8.822857,FALSE
10.138249,13.864985,FALSE
15.898618,16.173203,FALSE
22.119816,22.319508,FALSE
27.649770,15.153088,FALSE
15.898618,15.229470,FALSE
10.138249,15.601605,FALSE
15.898618,23.076252,FALSE
22.119816,16.707680,FALSE
27.649770,20.359270,FALSE
 4.838710, 9.267880,FALSE
15.898618,22.569954,FALSE
27.649770,15.025661,FALSE
10.138249,20.617980,FALSE
15.898618,26.252611,FALSE
22.119816,25.015261,FALSE
27.649770,25.256636,FALSE
10.138249,12.732788,FALSE
22.119816,20.734531,FALSE
27.649770,25.088679,FALSE
 4.838710,10.563694,FALSE
10.138249,13.519639,FALSE
15.898618,19.050476,FALSE
22.119816,21.529309,FALSE
27.649770,21.456498,FALSE
 4.838710,11.040131,FALSE
15.898618,14.990837,FALSE
22.119816,19.012535,FALSE
 4.838710,10.379693,FALSE
10.138249,18.796974,FALSE
15.898618,20.594324,FALSE
22.119816,20.681421,FALSE
10.138249,12.235768,FALSE
22.119816,19.910929,FALSE
27.649770,16.738871,FALSE
 4.838710,12.108303,FALSE
10.138249,14.874808,FALSE
15.898618,14.759363,FALSE
22.119816,18.619124,FALSE
27.649770,18.640753,FALSE
 4.838710, 9.670822,FALSE
10.138249,16.178510,FALSE
 4.838710, 8.620008,FALSE
 4.838710, 9.653249,FALSE
10.138249,14.411743,FALSE
 4.838710,10.310891,FALSE
10.138249,16.023072,FALSE
15.898618,21.149163,FALSE
22.119816,19.065223,FALSE
15.898618,14.267704,FALSE
 4.838710,11.263579,FALSE
15.898618,20.980614,FALSE
27.880184,16.966098,FALSE
 4.838710,17.518410,FALSE
15.898618,17.661628,FALSE
15.898618,24.627642,FALSE
 4.838710,14.306029,FALSE
15.898618,19.111905,FALSE
27.880184,21.209355,FALSE
15.898618,22.732250,FALSE
27.880184,21.901590,FALSE
 4.838710,21.152020,FALSE
15.898618,21.706029,FALSE
27.880184,22.167972,FALSE
 4.838710,17.372204,FALSE
15.898618,22.177066,FALSE
27.880184,18.925553,FALSE
 4.838710,15.300991,FALSE
15.898618,21.212680,FALSE
22.119816,25.705023,FALSE
 4.838710,17.733863,FALSE
10.138249,13.012650,FALSE
15.898618,21.881244,FALSE
22.119816,19.797903,FALSE
 4.838710,11.554178,FALSE
 4.838710,13.522127,FALSE
10.138249,23.555914,FALSE
22.119816,22.609908,FALSE
27.880184,22.905814,FALSE
 4.838710,19.899608,FALSE
10.138249,19.420975,FALSE
15.898618,20.998126,FALSE
22.119816,23.396429,FALSE
27.880184,12.361413,FALSE
10.138249,21.429478,FALSE
