Diet.5mo.as.AL,log10relab
AL,-0.55905765
1D,-0.55936032
AL,-0.55947901
2D,-0.56059253
2D,-0.56060328
AL,-0.56070469
AL,-0.56072373
20,-0.56128350
20,-0.56162950
AL,-0.56202661
AL,-0.56222663
AL,-0.56225983
AL,-0.56267312
2D,-0.56316516
1D,-0.56359614
40,-0.56377906
1D,-0.56385521
AL,-0.56389928
AL,-0.56430201
AL,-0.56435537
AL,-0.56462288
2D,-0.56471365
2D,-0.56510490
20,-0.56516972
AL,-0.56519895
AL,-0.56526670
AL,-0.56526812
AL,-0.56581668
AL,-0.56597092
AL,-0.56621957
1D,-0.56640306
AL,-0.56658705
2D,-0.56674209
1D,-0.56737145
2D,-0.56751416
AL,-0.56766732
AL,-0.56822306
2D,-0.56834328
2D,-0.56843618
AL,-0.56977558
1D,-0.56987473
2D,-0.57011199
40,-0.57039329
2D,-0.57039672
AL,-0.57064215
1D,-0.57095502
1D,-0.57116008
AL,-0.57119585
AL,-0.57194660
AL,-0.57224697
AL,-0.57224925
1D,-0.57306415
AL,-0.57357427
2D,-0.57395334
AL,-0.57398909
1D,-0.57453753
AL,-0.57514385
2D,-0.57528312
2D,-0.57575470
AL,-0.57617265
20,-0.57640166
AL,-0.57717702
AL,-0.57775840
AL,-0.57809262
AL,-0.57860735
1D,-0.57873645
40,-0.57909102
40,-0.57919555
1D,-0.57938900
40,-0.57939103
2D,-0.57941898
AL,-0.57943394
AL,-0.58032641
2D,-0.58052794
20,-0.58127999
AL,-0.58150332
1D,-0.58204420
40,-0.58270006
1D,-0.58291775
20,-0.58328318
2D,-0.58365680
1D,-0.58370729
20,-0.58370766
2D,-0.58381668
AL,-0.58422116
2D,-0.58554120
20,-0.58560474
20,-0.58574023
2D,-0.58575747
1D,-0.58579274
20,-0.58618859
AL,-0.58678311
AL,-0.58707680
AL,-0.58732349
AL,-0.58752091
AL,-0.58754638
1D,-0.58773123
AL,-0.58809128
AL,-0.58827598
AL,-0.58858972
1D,-0.58918045
AL,-0.58919376
AL,-0.58919587
1D,-0.58935448
AL,-0.59050709
1D,-0.59103238
AL,-0.59134338
20,-0.59197560
AL,-0.59208932
2D,-0.59212363
2D,-0.59290283
1D,-0.59308561
1D,-0.59375739
1D,-0.59391582
2D,-0.59585171
40,-0.59588633
AL,-0.59671300
1D,-0.59680677
2D,-0.59726501
1D,-0.59790767
AL,-0.59817924
20,-0.59832794
1D,-0.59999376
20,-0.60086297
2D,-0.60111150
AL,-0.60138249
1D,-0.60304196
1D,-0.60443058
1D,-0.60455894
AL,-0.60456531
2D,-0.60481852
2D,-0.60513437
2D,-0.60536904
AL,-0.60541832
AL,-0.60571651
40,-0.60648167
20,-0.60678288
1D,-0.60687842
40,-0.60697196
20,-0.60697233
AL,-0.60699086
AL,-0.60701132
AL,-0.60716759
1D,-0.60725601
AL,-0.60731695
20,-0.60735636
AL,-0.60746684
2D,-0.60833258
AL,-0.60848182
AL,-0.60957246
20,-0.60967503
40,-0.61002952
AL,-0.61067722
2D,-0.61080746
AL,-0.61122120
AL,-0.61126235
2D,-0.61141432
AL,-0.61168196
40,-0.61199167
1D,-0.61262482
2D,-0.61267545
