taxon.ID	phylum	class	order	family	genus	species
203	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	humerusii
207	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	maltophilia_AO
208	Actinobacteriota	Actinomycetia	Actinomycetales			
211	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	sp003293595
212	Firmicutes_A	Clostridia	Clostridiales			
213	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae		
214	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
215	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	sartagoforme_B
216	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	faecichinchillae
217	Proteobacteria	Alphaproteobacteria				
221	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	olei
222	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	variicola
223	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	flexneri
224	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	chromiireducens
225	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	mucosicola
226	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	MGBC000431
227	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	paraputrificum
228	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	
229	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	sp003611875
230	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76	
231	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76	sp003611955
233	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	
234	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	thuringiensis
235	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	sp003612335
236	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	
237	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	sp003612395
238	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
239	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	sp003612475
240	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-34	sp003612515
242	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	C-53	sp003612525
243	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	sp003612555
245	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7160	sp003612585
